Draw Date	N1	N2	N3	N4	N5	PB	PP
03-30-2019	21	52	54	64	68	04	03
03-27-2019	16	20	37	44	62	12	03
03-23-2019	24	25	52	60	66	05	03
03-20-2019	10	14	50	53	63	21	02
03-16-2019	30	34	39	53	67	11	02
03-13-2019	18	36	45	47	69	14	03
03-09-2019	05	06	45	55	59	14	03
03-06-2019	06	10	21	35	46	23	02
03-02-2019	01	19	25	27	68	21	02
02-27-2019	21	31	42	49	59	23	05
02-23-2019	04	06	14	20	32	13	02
02-20-2019	27	49	50	51	52	02	02
02-16-2019	29	30	41	48	64	01	04
02-13-2019	02	08	14	24	69	26	02
02-09-2019	01	02	03	07	39	25	03
02-06-2019	05	13	28	38	63	21	05
02-02-2019	10	17	18	43	65	13	05
01-30-2019	02	12	16	29	54	06	02
01-26-2019	08	12	20	21	32	10	04
01-23-2019	23	25	47	48	50	24	03
01-19-2019	05	08	41	65	66	20	03
01-16-2019	14	29	31	56	61	01	02
01-12-2019	07	36	48	57	58	24	02
01-09-2019	06	19	37	49	59	22	03
01-05-2019	03	07	15	27	69	19	02
01-02-2019	08	12	42	46	56	12	02
12-29-2018	12	42	51	53	62	25	02
12-26-2018	05	25	38	52	67	24	02
12-22-2018	21	28	30	40	59	26	03
12-19-2018	15	29	31	37	43	16	02
12-15-2018	08	38	43	52	55	17	03
12-12-2018	04	09	21	29	64	26	02
12-08-2018	14	32	34	46	61	10	02
12-05-2018	09	11	36	37	38	11	05
12-01-2018	10	11	47	55	58	26	02
11-28-2018	04	19	59	68	69	21	02
11-24-2018	11	33	51	56	58	18	02
11-21-2018	07	14	23	38	55	18	02
11-17-2018	06	08	20	52	68	05	02
11-14-2018	07	42	49	62	69	23	05
11-10-2018	05	29	34	53	57	24	02
11-07-2018	26	28	34	42	50	25	02
11-03-2018	15	21	24	32	65	11	03
10-31-2018	07	25	39	40	47	20	03
10-27-2018	08	12	13	19	27	04	03
10-24-2018	03	21	45	53	56	22	02
10-20-2018	16	54	57	62	69	23	02
10-17-2018	03	57	64	68	69	15	03
10-13-2018	11	14	32	43	65	15	03
10-10-2018	08	23	27	42	60	07	03
10-06-2018	01	22	27	53	67	15	03
10-03-2018	41	53	59	63	66	03	03
09-29-2018	09	17	34	59	64	22	02
09-26-2018	01	02	07	30	50	08	05
09-22-2018	24	61	63	64	69	18	05
09-19-2018	04	39	48	50	51	11	03
09-15-2018	02	18	19	24	34	03	03
09-12-2018	06	28	48	63	64	24	02
09-08-2018	03	13	20	32	33	21	03
09-05-2018	06	15	50	59	60	13	02
09-01-2018	11	54	55	61	66	09	03
08-29-2018	25	41	53	57	67	12	02
08-25-2018	20	25	54	57	63	08	02
08-22-2018	01	07	45	47	69	13	02
08-18-2018	24	34	52	61	67	16	03
08-15-2018	12	15	28	47	48	16	02
08-11-2018	05	43	56	62	68	24	02
08-08-2018	10	21	30	43	63	17	02
08-04-2018	03	11	38	44	58	02	04
08-01-2018	05	22	32	38	58	26	02
07-28-2018	22	27	46	56	65	13	02
07-25-2018	02	18	41	44	64	26	02
07-21-2018	09	23	56	58	68	01	02
07-18-2018	01	10	27	28	36	12	02
07-14-2018	22	41	42	49	67	11	03
07-11-2018	19	21	27	46	47	07	04
07-07-2018	01	10	43	45	64	22	03
07-04-2018	04	07	15	41	44	10	02
06-30-2018	03	09	20	42	61	24	02
06-27-2018	07	28	37	62	63	15	02
06-23-2018	16	29	43	45	56	25	02
06-20-2018	04	14	23	27	56	13	02
06-16-2018	09	45	57	58	65	09	02
06-13-2018	13	20	38	45	55	01	02
06-09-2018	06	10	15	25	36	14	03
06-06-2018	23	28	41	53	56	14	03
06-02-2018	23	25	37	44	64	07	04
05-30-2018	17	23	26	46	68	20	02
05-26-2018	01	21	31	45	49	21	02
05-23-2018	20	54	56	61	64	07	04
05-19-2018	03	06	09	17	56	25	03
05-16-2018	17	19	21	22	51	19	02
05-12-2018	22	42	45	55	56	14	03
05-09-2018	11	16	38	50	69	19	02
05-05-2018	14	29	36	57	61	17	04
05-02-2018	05	14	31	40	50	06	02
04-28-2018	20	22	28	45	50	08	05
04-25-2018	17	18	39	56	64	12	03
04-21-2018	40	50	54	62	69	19	02
04-18-2018	09	10	12	17	23	09	02
04-14-2018	17	19	26	61	62	15	02
04-11-2018	16	18	27	55	67	18	03
04-07-2018	02	17	20	38	39	20	02
04-04-2018	08	24	42	54	64	24	04
03-31-2018	08	24	52	55	61	21	03
03-28-2018	06	08	26	52	53	21	02
03-24-2018	10	33	45	53	56	24	03
03-21-2018	03	04	18	29	61	25	02
03-17-2018	22	57	59	60	66	07	02
03-14-2018	06	12	24	41	68	09	03
03-10-2018	43	44	54	61	69	22	03
03-07-2018	06	13	19	36	51	18	02
03-03-2018	13	17	25	36	40	05	02
02-28-2018	12	30	59	65	69	16	05
02-24-2018	24	25	38	62	63	06	02
02-21-2018	07	15	31	34	36	08	03
02-17-2018	13	26	39	44	62	02	03
02-14-2018	37	39	44	46	69	26	02
02-10-2018	01	13	27	41	59	20	05
02-07-2018	23	34	35	40	47	10	02
02-03-2018	15	23	27	48	53	06	02
01-31-2018	04	07	14	46	59	22	10
01-27-2018	17	21	26	47	54	07	02
01-24-2018	05	09	11	33	64	21	03
01-20-2018	26	28	47	49	58	03	04
01-17-2018	03	33	37	51	57	21	02
01-13-2018	14	25	35	58	69	24	02
01-10-2018	07	24	33	49	50	04	05
01-06-2018	12	29	30	33	61	26	03
01-03-2018	02	18	37	39	42	12	03
12-30-2017	28	36	41	51	58	24	02
12-27-2017	03	09	16	56	60	03	03
12-23-2017	01	03	13	15	44	25	02
12-20-2017	01	20	61	64	69	20	02
12-16-2017	09	35	37	50	63	11	02
12-13-2017	02	24	28	51	58	07	03
12-09-2017	25	36	37	55	60	06	05
12-06-2017	19	20	50	55	62	09	02
12-02-2017	28	30	32	36	58	06	03
11-29-2017	24	26	28	59	63	16	03
11-25-2017	08	13	27	53	54	04	02
11-22-2017	35	37	46	51	61	13	02
11-18-2017	17	28	31	32	39	26	03
11-15-2017	23	32	44	48	50	25	02
11-11-2017	04	06	16	30	56	18	02
11-08-2017	12	14	20	21	34	22	02
11-04-2017	12	14	26	48	51	13	03
11-01-2017	03	06	19	26	44	01	02
10-28-2017	27	35	38	57	66	10	02
10-25-2017	18	22	29	54	57	08	03
10-21-2017	14	41	42	45	69	04	02
10-18-2017	30	49	54	66	69	08	02
10-14-2017	32	37	56	66	69	11	03
10-11-2017	01	03	13	19	69	23	02
10-07-2017	10	49	61	63	65	07	02
10-04-2017	22	23	62	63	66	24	02
09-30-2017	08	12	25	41	64	15	03
09-27-2017	08	10	21	23	25	22	03
09-23-2017	24	45	55	56	57	19	02
09-20-2017	39	48	53	67	68	26	03
09-16-2017	17	18	24	25	31	24	02
09-13-2017	17	24	35	57	63	19	03
09-09-2017	06	20	29	57	59	22	02
09-06-2017	08	14	32	58	67	17	03
09-02-2017	06	21	41	52	62	26	02
08-30-2017	19	28	43	67	69	07	02
08-26-2017	07	15	32	38	66	15	02
08-23-2017	06	07	16	23	26	04	04
08-19-2017	17	19	39	43	68	13	04
08-16-2017	09	15	43	60	64	04	03
08-12-2017	20	24	26	35	49	19	02
08-09-2017	12	30	36	47	62	09	04
08-05-2017	11	21	28	33	45	11	02
08-02-2017	01	16	54	63	69	18	03
07-29-2017	01	28	40	45	48	12	02
07-26-2017	07	19	21	42	69	12	02
07-22-2017	05	32	44	53	60	09	03
07-19-2017	50	51	59	61	63	04	05
07-15-2017	09	40	63	64	66	17	02
07-12-2017	01	02	18	23	61	09	02
07-08-2017	08	10	29	40	59	26	02
07-05-2017	04	09	16	54	68	21	02
07-01-2017	19	42	45	48	53	16	03
06-28-2017	29	37	46	53	68	08	02
06-24-2017	10	22	32	36	58	10	04
06-21-2017	14	46	61	65	68	13	02
06-17-2017	10	13	32	53	62	21	02
06-14-2017	05	22	43	57	63	24	02
06-10-2017	20	26	32	38	58	03	02
06-07-2017	05	21	57	66	69	13	03
06-03-2017	03	09	21	41	54	25	04
05-31-2017	04	33	39	46	60	06	02
05-27-2017	05	10	28	55	67	09	03
05-24-2017	28	32	33	38	62	15	02
05-20-2017	05	22	45	47	54	03	02
05-17-2017	04	11	39	45	48	09	03
05-13-2017	17	20	32	63	68	19	05
05-10-2017	29	31	46	56	62	08	02
05-06-2017	11	21	31	41	59	21	03
05-03-2017	17	18	49	59	66	09	02
04-29-2017	22	23	24	45	62	05	02
04-26-2017	01	15	18	26	51	26	04
04-22-2017	21	39	41	48	63	06	03
04-19-2017	01	19	37	40	52	15	03
